loading,measurement_3,measurement_4,measurement_5,measurement_6,measurement_7,measurement_8,measurement_9,measurement_10,measurement_11,measurement_12,measurement_13,measurement_14,measurement_15,measurement_16,measurement_17,id,failure,kfold
175.95,16.84,11.301,17.487,18.094,10.123,18.505,13.198,18.949,19.342,14.069,14.918,18.439,12.893,17.129,647.78,18721,1,0
220.33,19.051,11.179,17.044,17.353,12.215,20.625,11.567,16.021,16.762,13.172,15.6285,16.767,14.969,14.672,770.338,25418,1,0
57.23,18.035,10.511,18.18,17.146,10.405,18.604,10.557,19.115,17.435,12.734,17.146,17.569,14.587,13.622,653.066,18657,0,0
118.45,18.137,11.266,16.434,17.516,12.346,19.02,13.587,16.668,19.343,10.257,15.6285,17.308,17.304,16.08,781.88,20075,0,0
91.57,18.538,11.733,19.658,18.455,13.241,18.832,10.764,18.28,19.238,10.103,15.255,16.04,14.969,16.69,1031.02,20087,0,0
136.68,17.11,10.992,17.132,17.264,13.389,19.198,12.451,16.152,18.36,10.097,17.431,17.049,15.865,17.035,789.43,14424,0,0
98.03,17.787,11.111,16.456,17.769,12.614,19.926,11.43,15.629,19.394,12.002,14.443,17.401,15.931,12.974,701.0245,24567,0,0
141.4,17.976,12.804,16.298,15.97,11.372,19.506,9.94,14.47,21.682,11.469,14.359,16.1,12.835,16.436,701.0245,8710,0,0
201.67,18.111,10.98,16.533,17.177,10.89,18.797,11.155,16.59,19.608,13.151,17.257,17.361,14.125,17.744,586.551,17831,0,0
124.66,16.698,12.287,17.546,18.636,10.198,18.941,12.016,15.596,21.259,10.548,15.806,18.965,13.539,15.7,718.964,4991,1,0
107.23,17.845,11.681,17.221,17.909,11.398,17.688,13.131,15.993,20.745,10.909,16.607,16.06,14.975,17.989,720.089,6424,0,0
108.71,17.539,11.259,16.426,18.868,9.682,20.516,12.559,15.855,17.081,11.381,15.346,17.747,14.734,15.594,765.451,15582,0,0
102.68,17.146,12.148,17.909,17.748,12.042,20.773,11.544,17.931,19.2115,12.133,13.568,15.055,15.909,15.328,925.9,26172,0,0
97.75,19.541,13.512,18.343,16.389,12.495,18.992,11.133,15.697,18.843,11.057,15.195,17.648,14.969,14.866,791.623,21729,0,0
209.71,17.613,11.948,16.478,17.761,9.967,20.425,12.529,13.586,19.045,11.913,18.129,15.535,14.969,18.447,560.536,7754,0,0
88.94,18.043,10.62,15.231,17.818,10.845,19.021,11.68,16.729,18.262,7.95,16.751,14.121,14.969,16.436,574.196,18071,0,0
101.18,15.849,11.881,18.182,15.99,11.844,18.394,10.198,16.948,18.848,13.331,15.14,16.121,14.221,17.348,679.459,1770,0,0
109.44,17.228,12.627,18.905,16.359,12.238,20.39,11.215,16.336,19.349,9.533,14.87,15.842,16.229,15.664,795.738,21040,0,0
103.34,17.243,12.14,16.378,18.403,11.854,18.4,11.773,17.485,21.321,13.093,15.803,15.441,15.002,16.436,703.803,8071,0,0
113.85,16.904,11.179,16.626,16.633,12.729,19.439,11.204,15.758,18.284,12.054,17.136,14.267,16.113,17.079,740.24,11868,1,0
136.72,19.473,11.367,17.723,17.401,10.613,19.359,11.805,13.652,20.814,10.792,16.64,15.009,15.946,16.436,650.486,5276,0,0
71.43,17.925,11.483,19.511,17.843,12.353,19.76,12.137,17.362,18.693,11.593,19.109,15.664,14.969,20.288,851.077,10267,0,0
104.67,18.397,11.453,16.856,17.19,13.866,17.311,11.604,18.625,18.456,13.694,15.032,15.287,13.431,17.865,674.567,19436,0,0
127.02,18.796,10.473,16.273,17.357,12.239,20.543,9.949,14.818,17.996,13.201,14.98,16.04,14.007,17.062,756.627,3211,0,0
